# Starfield Protected Terms - High Quality Subset
# Total terms: 1889
# Format: Term,Category
# Curated for use in TermProtector (lower noise than comprehensive).

# === COMPANIES & CORPORATIONS (25) ===
Aphelion Realty,company
Argos Extractors,company
Chunks,company
Construx,company
Enhance,company
GalBank,company
Generdyne,company
HopeTech,company
Infinity LTD,company
KORE Kinetics,company
Nova Galactic,company
Reliant Medical,company
Repair n' Go,company
Ryujin Industries,company
Slayton Aerospace,company
SSNN,company
Stroud-Eklund,company
Taiyo,company
Taiyo Astroneering,company
Terrabrew,company
Trade Authority,company
Trident Luxury Lines,company
UC Defense,company
Xenofresh,company

# === FACTIONS & ORGANIZATIONS (27) ===
CeltCorp,faction
Combatech,faction
Constellation,faction
Crimson Fleet,faction
Cydonia Security,faction
Dogstar,faction
Ecliptic,faction
Enlightened,faction
Freestar Collective,faction
Freestar Rangers,faction
Horizon Defense,faction
House Va'ruun,faction
Light Scythe,faction
Lunar Robotics,faction
Nautilus,faction
Sanctum Universum,faction
Spacers,faction
Trackers Alliance,faction
UC Marines,faction
UC Navy,faction
UC Security,faction
UC SysDef,faction
UC Vanguard,faction
United Colonies,faction
Xiang,faction

# === SHIPS & VEHICLES (18) ===
Abyss Trekker,ship
ECS Constant,ship
Frontier,ship
Haemosu,ship
Kepler R,ship
Kepler S,ship
Narwhal,ship
Polis II,ship
Razorleaf,ship
Siren of the Stars,ship
Starborn Guardian,ship
The Astraea,ship
The Datura,ship
The Scow,ship
UC Vigilance,ship
Wanderwell,ship

# === LORE & STORY TERMS (15) ===
Artifact,lore
Artifacts,lore
MAST,lore
New Game Plus,lore
Serpent's Embrace,lore
Settled Systems,lore
Shattered Space,lore
Starborn,lore
Starborn Temple,lore
Starfield,lore
The Great Serpent,lore
The Unity,lore
Unity,lore
Va'ruun'kai,lore
Zero G,lore

# === UI & SYSTEM TERMS (20) ===
AI,ui
AP,ui
CEO,ui
Contraband,ui
Cutter,ui
Digipick,ui
DLC,ui
FX,ui
HP,ui
HQ,ui
HUD,ui
NG+,ui
NPC,ui
REV-8,ui
Scanner,ui
UC,ui
VFX,ui
VIP,ui
Wanted,ui
XP,ui

# === SINGLE-WORD PROPER NOUNS (1782) ===
Abbie,proper_noun
Abello,proper_noun
Abhay,proper_noun
Abreu,proper_noun
Achilles,proper_noun
Acids,proper_noun
Activators,proper_noun
Actor,proper_noun
Actuator,proper_noun
Actuators,proper_noun
Adams,proper_noun
Adapters,proper_noun
Addichrone,proper_noun
Adella,proper_noun
Adept,proper_noun
Adisa,proper_noun
Adler,proper_noun
